sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,c_charge_degree,c_charge_desc,priors_count,two_year_recid
Male,29,25 - 45,Caucasian,0,0,0,M,Possess Cannabis/20 Grams Or Less,0,0
Female,21,Less than 25,African-American,0,0,0,F,arrest case no charge,2,0
Male,51,Greater than 45,African-American,0,0,0,M,Unlaw Use False Name/Identity,2,0
Male,29,25 - 45,Caucasian,0,0,0,M,Viol Injunct Domestic Violence,2,1
Female,51,Greater than 45,African-American,0,0,0,F,Possession of Cocaine,7,0
Male,29,25 - 45,African-American,0,0,0,F,Defrauding Innkeeper $300/More,0,1
Male,25,25 - 45,Caucasian,0,0,0,M,Battery,9,1
Male,35,25 - 45,African-American,1,0,4,F,Uttering a Forged Instrument,13,1
Male,49,Greater than 45,Caucasian,0,0,0,M,DUI Level 0.15 Or Minor In Veh,0,0
Male,34,25 - 45,African-American,0,0,0,M,Driving License Suspended,4,1
Male,29,25 - 45,African-American,0,0,0,F,Tampering With Physical Evidence,0,0
Male,29,25 - 45,Caucasian,0,0,0,F,Possession of Oxycodone,1,1
Female,28,25 - 45,Other,0,0,0,F,Grand Theft in the 3rd Degree,0,0
Male,48,Greater than 45,Caucasian,0,0,0,F,arrest case no charge,20,1
Female,63,Greater than 45,Hispanic,0,0,0,F,arrest case no charge,1,0
Male,31,25 - 45,African-American,0,0,1,F,Attempt Armed Burglary Dwell,15,0
Male,24,Less than 25,African-American,0,0,0,F,Poss Tetrahydrocannabinols,2,1
Male,30,25 - 45,Hispanic,0,0,0,M,Possess Cannabis/20 Grams Or Less,0,0
Male,49,Greater than 45,African-American,0,0,0,M,Battery,4,0
Male,53,Greater than 45,Caucasian,0,0,0,F,arrest case no charge,8,0
Male,35,25 - 45,African-American,0,0,0,F,Driving While License Revoked,5,0
Male,63,Greater than 45,African-American,0,0,0,M,Possess Drug Paraphernalia,10,1
Male,27,25 - 45,African-American,1,1,2,F,Driving While License Revoked,15,1
Male,38,25 - 45,Caucasian,0,0,0,M,Battery,4,1
Male,22,Less than 25,African-American,0,0,1,F,Poss Firearm W/Altered ID#,1,1
Male,22,Less than 25,African-American,0,1,2,F,Sell Conterfeit Cont Substance,2,1
Male,29,25 - 45,African-American,0,0,0,F,arrest case no charge,4,1
Male,62,Greater than 45,Hispanic,0,0,0,M,Unlaw LicTag/Sticker Attach,0,0
Male,27,25 - 45,African-American,0,1,0,F,Aggravated Battery / Pregnant,6,1
Male,33,25 - 45,Other,0,0,0,M,Battery,0,0
Female,56,Greater than 45,African-American,0,0,0,M,Battery,0,0
Male,45,Greater than 45,Hispanic,0,0,0,F,Possession of Cocaine,6,1
Male,22,Less than 25,Hispanic,0,0,0,F,Burglary Structure Unoccup,1,0
Male,39,25 - 45,African-American,0,0,0,M,arrest case no charge,1,0
Male,29,25 - 45,African-American,0,0,0,F,False Name By Person Arrest,5,1
Male,27,25 - 45,Caucasian,0,0,1,F,arrest case no charge,1,1
Male,40,25 - 45,African-American,0,0,0,F,arrest case no charge,2,0
Male,22,Less than 25,African-American,0,0,0,M,Battery,1,1
Male,22,Less than 25,Caucasian,0,0,0,F,Grand Theft in the 3rd Degree,0,0
Female,26,25 - 45,African-American,0,0,0,F,Poss Cocaine/Intent To Del/Sel,1,1
Male,27,25 - 45,Caucasian,0,0,0,F,Burglary Dwelling Assault/Batt,1,1
Male,32,25 - 45,African-American,0,0,0,F,Felony Battery (Dom Strang),0,0
Male,41,25 - 45,African-American,0,0,0,M,arrest case no charge,1,0
Male,30,25 - 45,African-American,0,0,0,M,Possess Cannabis/20 Grams Or Less,8,1
Male,50,Greater than 45,Other,0,0,0,F,arrest case no charge,0,1
Male,25,25 - 45,African-American,1,6,1,F,arrest case no charge,14,1
Male,20,Less than 25,Other,0,0,0,F,Tampering With Physical Evidence,0,1
Male,22,Less than 25,African-American,1,0,0,F,Attempted Burg/struct/unocc,2,1
Male,23,Less than 25,African-American,0,0,1,M,arrest case no charge,2,1
Female,35,25 - 45,African-American,0,0,0,M,arrest case no charge,1,0
Male,36,25 - 45,African-American,0,0,0,F,Deliver Cocaine,9,1
Male,26,25 - 45,Caucasian,0,0,0,F,Possession Burglary Tools,7,1
Male,21,Less than 25,Other,0,0,0,F,Grand Theft in the 3rd Degree,1,1
Male,25,25 - 45,Caucasian,0,0,0,F,Pos Cannabis W/Intent Sel/Del,9,1
Male,71,Greater than 45,African-American,0,0,0,M,Possess Cannabis/20 Grams Or Less,12,0
Female,20,Less than 25,Caucasian,0,0,0,F,"Poss3,4 Methylenedioxymethcath",0,0
Male,39,25 - 45,Caucasian,0,0,0,F,Possession Of Alprazolam,2,1
Male,66,Greater than 45,Caucasian,0,0,0,F,Flee/Elude LEO-Agg Flee Unsafe,3,0
Female,54,Greater than 45,Caucasian,0,0,0,M,DUI Level 0.15 Or Minor In Veh,0,0
Female,44,25 - 45,Hispanic,0,0,0,M,Battery,0,0
Male,19,Less than 25,African-American,0,0,0,M,Battery,1,1
Male,24,Less than 25,African-American,0,0,0,F,arrest case no charge,1,0
Male,30,25 - 45,African-American,0,0,0,F,Fail To Redeliv Hire/Leas Prop,1,0
Female,39,25 - 45,Caucasian,0,0,0,F,Aggravated Assault W/Dead Weap,0,1
Male,24,Less than 25,Caucasian,0,1,2,F,False Ownership Info/Pawn Item,8,1
Male,30,25 - 45,Caucasian,0,0,0,F,Possession Of Methamphetamine,0,0
Male,31,25 - 45,Caucasian,0,0,0,M,Battery,0,0
Female,39,25 - 45,Caucasian,0,0,0,F,Possession of Morphine,1,0
Male,59,Greater than 45,African-American,0,0,0,F,arrest case no charge,14,1
Male,43,25 - 45,Caucasian,0,0,0,F,Possession of Cocaine,1,0
Male,21,Less than 25,African-American,0,0,0,F,Grand Theft in the 3rd Degree,3,1
Male,38,25 - 45,Caucasian,0,0,0,M,Possess Cannabis/20 Grams Or Less,5,1
Male,34,25 - 45,Caucasian,0,0,0,F,Aggravated Assault w/Firearm,0,0
Male,33,25 - 45,African-American,0,0,0,F,Poss Contr Subst W/o Prescript,5,1
Male,37,25 - 45,African-American,0,0,0,F,"Poss3,4 Methylenedioxymethcath",3,0
Male,42,25 - 45,Caucasian,0,0,0,F,Aggrav Stalking After Injunctn,1,1
Male,41,25 - 45,African-American,0,1,0,F,Possession of Cocaine,10,1
Male,22,Less than 25,African-American,0,0,0,F,Uttering a Forged Instrument,0,1
Male,33,25 - 45,African-American,0,12,2,F,Driving While License Revoked,28,1
Male,31,25 - 45,African-American,0,0,0,M,Battery,1,0
Female,30,25 - 45,Other,0,0,0,F,Crim Use of Personal ID Info,1,0
Male,31,25 - 45,Caucasian,0,0,0,F,arrest case no charge,13,1
Male,27,25 - 45,African-American,0,0,0,F,Possession of Cocaine,3,1
Male,56,Greater than 45,African-American,0,0,0,F,arrest case no charge,8,0
Male,52,Greater than 45,Caucasian,0,0,0,M,Battery,3,0
Male,33,25 - 45,African-American,0,0,0,F,arrest case no charge,19,1
Female,64,Greater than 45,Caucasian,0,0,0,M,Resist/Obstruct W/O Violence,2,0
Male,22,Less than 25,Caucasian,0,0,0,F,Possession Of Alprazolam,4,1
Male,42,25 - 45,Caucasian,0,0,0,F,Possession Of Alprazolam,6,0
Female,25,25 - 45,Caucasian,0,0,0,F,arrest case no charge,2,0
Male,30,25 - 45,Caucasian,0,0,0,M,Agg Fleeing and Eluding,1,0
Male,28,25 - 45,Caucasian,0,0,0,F,arrest case no charge,2,0
Female,37,25 - 45,Other,0,0,0,M,Petit Theft,2,0
Male,28,25 - 45,Caucasian,0,0,0,M,Disorderly Intoxication,0,1
Female,24,Less than 25,African-American,0,0,0,M,Battery,0,0
Female,29,25 - 45,Caucasian,0,1,0,F,Grand Theft in the 3rd Degree,10,1
Male,44,25 - 45,Caucasian,0,0,0,M,Battery,2,1
Female,30,25 - 45,Hispanic,0,0,0,F,Battery on Law Enforc Officer,4,1
Male,32,25 - 45,African-American,0,0,0,F,Possession of Cocaine,3,1
Male,31,25 - 45,Caucasian,0,0,0,M,Resist/Obstruct W/O Violence,2,1
Male,31,25 - 45,African-American,0,0,0,M,Lewdness Violation,1,0
Male,59,Greater than 45,Caucasian,0,0,0,F,Possession of Cocaine,1,1
Female,45,Greater than 45,Caucasian,0,0,0,F,arrest case no charge,4,0
Female,20,Less than 25,African-American,1,0,0,F,arrest case no charge,1,0
Female,43,25 - 45,Caucasian,0,0,0,M,DUI Level 0.15 Or Minor In Veh,0,0
Male,38,25 - 45,African-American,1,1,0,F,Possession of Cocaine,9,1
Male,32,25 - 45,African-American,0,0,0,F,Poss Pyrrolidinovalerophenone,11,1
Male,33,25 - 45,African-American,0,0,0,M,Assault,8,1
Female,31,25 - 45,African-American,0,0,0,F,Possession of Oxycodone,0,1
Female,33,25 - 45,African-American,0,0,0,F,Possession of Cocaine,7,1
Male,27,25 - 45,African-American,0,0,0,F,Tampering With Physical Evidence,2,1
Female,20,Less than 25,African-American,0,0,0,F,Grand Theft in the 3rd Degree,0,0
Female,26,25 - 45,Caucasian,0,0,0,M,Fail To Obey Police Officer,0,0
Female,61,Greater than 45,African-American,0,0,0,F,Solicit Purchase Cocaine,1,1
Male,52,Greater than 45,Other,0,0,0,F,Felony Petit Theft,13,1
Male,63,Greater than 45,Hispanic,0,0,0,F,arrest case no charge,1,0
Female,32,25 - 45,African-American,0,0,0,F,arrest case no charge,4,1
Male,29,25 - 45,Hispanic,0,0,0,F,Grand Theft in the 3rd Degree,1,0
Female,46,Greater than 45,Other,0,0,0,F,Grand Theft in the 1st Degree,1,0
Female,26,25 - 45,African-American,0,0,0,M,Driving Under The Influence,2,1
Male,55,Greater than 45,African-American,0,0,0,M,Battery,3,0
Male,39,25 - 45,Caucasian,1,0,0,M,,1,0
Female,30,25 - 45,Caucasian,0,0,0,F,Possession Of Carisoprodol,3,1
Male,30,25 - 45,African-American,0,0,0,F,Burglary Conveyance Assault/Bat,1,0
Male,48,Greater than 45,Caucasian,0,0,0,M,Battery,2,0
Male,22,Less than 25,African-American,0,0,0,F,arrest case no charge,1,0
Male,46,Greater than 45,Caucasian,0,0,0,F,Driving While License Revoked,6,1
Female,49,Greater than 45,Caucasian,0,0,0,F,Crim Use of Personal ID Info,6,0
Male,31,25 - 45,Caucasian,0,0,0,F,"Deliver 3,4 Methylenediox",0,0
Male,25,25 - 45,African-American,0,0,0,M,Battery,1,1
Male,23,Less than 25,Hispanic,0,0,0,F,"Poss3,4 Methylenedioxymethcath",0,0
Female,32,25 - 45,African-American,0,0,0,F,Aggravated Assault W/dead Weap,5,0
Male,52,Greater than 45,Hispanic,0,0,0,M,Leave Acc/Attend Veh/More $50,2,0
Male,62,Greater than 45,African-American,0,0,0,F,Possession of Cocaine,8,0
Female,37,25 - 45,Caucasian,0,0,0,F,Possession of Cocaine,6,0
Male,55,Greater than 45,Caucasian,0,0,0,F,Grand Theft in the 3rd Degree,1,0
Male,31,25 - 45,Hispanic,0,0,0,F,arrest case no charge,8,1
Male,28,25 - 45,African-American,0,0,0,M,Resist/Obstruct W/O Violence,6,1
Male,54,Greater than 45,Hispanic,0,0,0,F,Burglary Unoccupied Dwelling,2,0
Male,58,Greater than 45,Hispanic,0,0,0,F,Possession Of Heroin,0,0
Male,78,Greater than 45,Caucasian,0,0,0,M,Driving Under The Influence,1,1
Male,56,Greater than 45,Caucasian,0,0,0,F,Possession of Cocaine,0,0
Male,24,Less than 25,Other,0,0,0,F,Burglary Unoccupied Dwelling,0,0
Male,38,25 - 45,African-American,2,2,1,F,Child Abuse,22,1
Male,22,Less than 25,African-American,0,0,0,F,Pos Cannabis W/Intent Sel/Del,1,1
Male,47,Greater than 45,African-American,0,0,0,M,Possess Cannabis/20 Grams Or Less,23,1
Male,23,Less than 25,African-American,0,0,0,M,Battery,0,1
Male,57,Greater than 45,Hispanic,0,0,0,F,Driving While License Revoked,1,0
Female,38,25 - 45,Caucasian,0,0,0,F,Possession of Cocaine,2,1
Male,66,Greater than 45,African-American,0,0,0,F,Agg Battery Grt/Bod/Harm,3,0
Male,45,Greater than 45,Caucasian,0,0,0,M,Viol Injunct Domestic Violence,8,1
Female,52,Greater than 45,Other,0,0,0,M,,0,1
Male,32,25 - 45,African-American,0,0,0,F,Poss Cocaine/Intent To Del/Sel,13,1
Male,37,25 - 45,African-American,0,0,0,M,Battery,2,1
Male,39,25 - 45,Caucasian,0,0,0,F,Possession Of Methamphetamine,0,1
Male,26,25 - 45,African-American,0,0,0,F,Deliver Cocaine,9,1
Male,45,Greater than 45,Caucasian,0,0,0,F,Lewd or Lascivious Molestation,2,0
Male,23,Less than 25,African-American,0,0,0,F,Possession of Cannabis,0,1
Male,34,25 - 45,African-American,0,0,0,M,Battery,2,0
Female,23,Less than 25,African-American,0,0,0,M,Battery,1,0
Male,36,25 - 45,Other,0,0,0,M,Battery,2,1
Male,50,Greater than 45,Caucasian,0,0,0,F,Sexual Performance by a Child,1,0
Female,37,25 - 45,Caucasian,0,0,0,M,Leaving Acc/Unattended Veh,0,0
Male,44,25 - 45,Caucasian,0,0,0,M,Battery,4,0
Female,35,25 - 45,African-American,0,1,0,F,Felony Petit Theft,23,1
Male,24,Less than 25,Other,0,0,0,F,arrest case no charge,5,1
Male,26,25 - 45,African-American,0,0,0,F,Fleeing Or Attmp Eluding A Leo,2,1
Male,27,25 - 45,African-American,0,0,0,M,Criminal Mischief,0,0
Female,28,25 - 45,African-American,0,0,0,F,Aggrav Battery w/Deadly Weapon,0,0
Male,43,25 - 45,Caucasian,0,0,0,F,arrest case no charge,11,1
Female,28,25 - 45,Caucasian,0,0,0,F,Felony Petit Theft,7,1
Male,38,25 - 45,African-American,0,0,0,F,Driving While License Revoked,2,0
Male,27,25 - 45,Caucasian,0,0,0,M,Trespass Struct/Conveyance,2,0
Female,28,25 - 45,African-American,0,0,0,F,arrest case no charge,1,0
Male,56,Greater than 45,Caucasian,0,0,0,F,Felony Driving While Lic Suspd,7,1
Male,38,25 - 45,African-American,0,0,0,F,Possession of Cocaine,15,0
Male,28,25 - 45,African-American,0,0,0,M,Possess Cannabis/20 Grams Or Less,2,0
Male,45,Greater than 45,African-American,0,0,0,F,arrest case no charge,3,0
Male,28,25 - 45,Hispanic,0,0,0,M,DUI Property Damage/Injury,0,0
Male,61,Greater than 45,Caucasian,0,0,0,F,arrest case no charge,1,0
Female,51,Greater than 45,Caucasian,0,0,0,M,Driving Under The Influence,0,1
Male,51,Greater than 45,Caucasian,0,0,0,M,Battery,0,0
Male,36,25 - 45,Other,0,0,0,M,Possess Cannabis/20 Grams Or Less,1,1
Male,48,Greater than 45,African-American,0,0,0,F,Aggravated Battery (Firearm/Actual Possession),0,0
Male,37,25 - 45,Caucasian,0,0,0,F,arrest case no charge,4,1
Female,30,25 - 45,African-American,0,0,0,F,Grand Theft in the 3rd Degree,2,0
Female,41,25 - 45,African-American,0,0,0,M,Battery,5,0
Male,27,25 - 45,African-American,0,0,0,F,Robbery / No Weapon,11,1
Male,37,25 - 45,African-American,0,0,0,M,Battery,0,0
Male,33,25 - 45,Other,0,0,0,F,Aggravated Assault w/Firearm,4,1
Male,54,Greater than 45,African-American,0,0,0,F,Grand Theft (Motor Vehicle),11,0
Male,23,Less than 25,African-American,0,0,0,F,Robbery / Weapon,2,0
Female,26,25 - 45,African-American,0,0,0,F,arrest case no charge,2,1
Male,41,25 - 45,African-American,0,0,0,M,Battery,0,0
Male,52,Greater than 45,Caucasian,0,0,0,F,Burglary With Assault/battery,0,0
Male,43,25 - 45,Caucasian,0,0,0,F,Driving While License Revoked,13,1
Male,52,Greater than 45,African-American,0,0,0,F,Uttering a Forged Instrument,0,0
Male,28,25 - 45,Caucasian,0,0,0,F,arrest case no charge,1,0
Male,30,25 - 45,African-American,0,0,2,M,Battery,11,1
Male,28,25 - 45,Caucasian,0,0,0,F,Criminal Mischief,1,0
Male,22,Less than 25,African-American,0,0,0,F,Pos Cannabis W/Intent Sel/Del,0,0
Male,30,25 - 45,African-American,0,0,0,F,Driving While License Revoked,4,0
Male,25,25 - 45,Hispanic,0,0,0,F,Possession of Cannabis,4,0
Male,31,25 - 45,Caucasian,0,0,0,F,Burglary Unoccupied Dwelling,0,1
Male,37,25 - 45,Caucasian,0,0,0,F,Grand Theft in the 3rd Degree,0,1
Male,32,25 - 45,African-American,0,1,0,F,Aggravated Battery / Pregnant,14,0
Male,26,25 - 45,African-American,0,1,0,M,Possess Cannabis/20 Grams Or Less,4,0
Male,53,Greater than 45,Caucasian,0,0,0,M,Battery,1,0
Male,28,25 - 45,African-American,0,0,0,F,arrest case no charge,25,1
Male,44,25 - 45,Caucasian,0,0,0,M,Battery,8,1
Male,25,25 - 45,African-American,0,0,0,F,Grand Theft in the 3rd Degree,0,0
Male,22,Less than 25,Caucasian,0,0,1,M,Voyeurism,1,1
Female,37,25 - 45,Other,0,0,0,M,Battery,0,0
Female,40,25 - 45,Other,0,0,0,F,Driving While License Revoked,3,0
Male,36,25 - 45,Caucasian,0,0,0,F,Felony Driving While Lic Suspd,8,1
Male,30,25 - 45,Caucasian,0,0,0,F,False Imprisonment,4,0
Male,22,Less than 25,African-American,0,0,0,M,Prowling/Loitering,3,1
Female,24,Less than 25,Caucasian,0,0,0,M,Battery,1,1
Male,27,25 - 45,African-American,0,0,0,M,Viol Prot Injunc Repeat Viol,3,1
Female,31,25 - 45,Hispanic,0,0,0,M,Battery,0,0
Male,23,Less than 25,Hispanic,0,0,1,F,arrest case no charge,1,1
Female,23,Less than 25,Caucasian,0,0,4,F,arrest case no charge,5,1
Male,24,Less than 25,Hispanic,0,0,0,M,Possess Cannabis/20 Grams Or Less,0,0
Male,29,25 - 45,African-American,0,0,0,M,Battery,1,0
Male,20,Less than 25,African-American,0,0,0,F,Carrying Concealed Firearm,1,1
Male,30,25 - 45,African-American,0,0,0,F,Carrying Concealed Firearm,2,1
Male,39,25 - 45,Other,0,0,0,F,Throw In Occupied Dwell,0,0
Male,27,25 - 45,African-American,0,0,0,F,arrest case no charge,4,0
Male,31,25 - 45,Caucasian,0,0,0,M,arrest case no charge,2,0
Female,37,25 - 45,African-American,0,0,0,F,arrest case no charge,2,0
Male,20,Less than 25,African-American,0,0,0,F,Possession Burglary Tools,0,0
Male,22,Less than 25,Hispanic,0,0,1,F,"Poss3,4 Methylenedioxymethcath",0,0
Female,52,Greater than 45,African-American,0,0,0,F,Burglary Conveyance Unoccup,0,0
Female,23,Less than 25,African-American,0,0,0,F,Carrying Concealed Firearm,0,1
Female,48,Greater than 45,African-American,0,0,0,F,Aggravated Assault W/Dead Weap,0,0
Male,66,Greater than 45,African-American,0,0,0,F,Deliver Cocaine,8,1
Male,25,25 - 45,Caucasian,0,0,0,F,"Deliver 3,4 Methylenediox",0,0
Male,27,25 - 45,Caucasian,0,0,0,F,Grand Theft in the 3rd Degree,0,1
Male,30,25 - 45,African-American,0,0,0,F,Unauth Poss ID Card or DL,11,1
Male,22,Less than 25,African-American,0,1,1,M,Battery,3,1
Female,22,Less than 25,Caucasian,0,0,0,F,Pos Cannabis W/Intent Sel/Del,1,0
Male,35,25 - 45,African-American,0,0,0,F,arrest case no charge,2,0
Male,32,25 - 45,Caucasian,0,0,0,F,arrest case no charge,2,0
Female,41,25 - 45,African-American,0,0,0,M,Battery on Law Enforc Officer,2,0
Female,25,25 - 45,Other,0,0,0,F,Aggravated Assault W/Dead Weap,0,0
Male,44,25 - 45,African-American,0,0,0,M,Opert With Susp DL 2nd Offens,24,0
Male,52,Greater than 45,African-American,0,0,0,F,Possession of Cocaine,3,1
Male,43,25 - 45,African-American,0,0,0,F,Felony Battery (Dom Strang),0,0
Male,37,25 - 45,Caucasian,0,0,0,F,arrest case no charge,3,0
Male,28,25 - 45,African-American,0,0,0,M,Possess Cannabis/20 Grams Or Less,3,1
Male,70,Greater than 45,Caucasian,0,0,0,M,Battery,1,0
Male,54,Greater than 45,Caucasian,0,0,0,F,Possession of Cocaine,6,1
Male,46,Greater than 45,Caucasian,0,0,0,F,arrest case no charge,3,0
Male,21,Less than 25,African-American,0,0,0,M,Petit Theft,0,1
Male,26,25 - 45,African-American,0,0,0,M,Battery,1,1
Male,38,25 - 45,Hispanic,0,0,0,F,Crim Use of Personal ID Info,3,1
Male,34,25 - 45,Caucasian,0,0,0,M,Battery,5,0
Male,19,Less than 25,African-American,0,0,0,F,Grand Theft in the 3rd Degree,1,1
Male,34,25 - 45,African-American,0,0,0,M,Driving License Suspended,5,0
Male,23,Less than 25,Caucasian,0,0,0,F,Aggravated Assault W/Dead Weap,0,1
Male,34,25 - 45,African-American,0,0,0,F,Possession of Oxycodone,5,1
Male,30,25 - 45,African-American,0,0,0,F,arrest case no charge,2,0
Male,39,25 - 45,African-American,0,0,0,F,Aggravated Battery / Pregnant,6,1
Male,24,Less than 25,Other,0,0,0,F,Failure To Return Hired Vehicle,0,0
Male,33,25 - 45,Caucasian,0,0,0,M,Driving Under The Influence,1,1
Male,58,Greater than 45,Caucasian,0,0,0,F,Agg Fleeing/Eluding High Speed,2,0
Female,21,Less than 25,African-American,0,0,0,M,Battery,0,0
Male,21,Less than 25,African-American,0,0,0,F,Attempted Robbery  No Weapon,1,0
Male,23,Less than 25,African-American,0,0,1,M,Possess Cannabis/20 Grams Or Less,4,1
Male,62,Greater than 45,Caucasian,0,0,0,F,False Imprisonment,0,0
Male,27,25 - 45,African-American,1,0,1,M,Possess Cannabis/20 Grams Or Less,4,1
Male,37,25 - 45,Caucasian,0,0,0,F,Battery on Law Enforc Officer,5,0
Male,43,25 - 45,Other,0,0,0,F,Grand Theft in the 3rd Degree,2,1
Female,32,25 - 45,African-American,0,0,0,F,Aggrav Battery w/Deadly Weapon,5,0
Male,23,Less than 25,Hispanic,0,0,0,F,Burglary Conveyance Unoccup,0,0
Male,27,25 - 45,African-American,0,0,0,M,Battery,0,0
Male,44,25 - 45,Caucasian,0,0,0,M,Battery,0,1
Male,28,25 - 45,Caucasian,0,0,0,M,Battery,3,1
Female,42,25 - 45,Caucasian,0,0,0,F,Possession of Cocaine,0,0
Male,24,Less than 25,Other,0,1,0,F,Resist Officer w/Violence,9,1
Male,27,25 - 45,African-American,0,0,0,F,Aggrav Battery w/Deadly Weapon,0,0
Male,20,Less than 25,African-American,0,0,0,F,Grand Theft (Motor Vehicle),0,1
Female,51,Greater than 45,Caucasian,0,0,0,M,Battery on Law Enforc Officer,0,0
Male,56,Greater than 45,Caucasian,0,0,0,M,Battery On Parking Enfor Speci,0,0
Male,29,25 - 45,African-American,0,0,0,F,arrest case no charge,7,0
Male,20,Less than 25,African-American,0,0,0,F,Grand Theft in the 3rd Degree,0,1
Male,53,Greater than 45,Caucasian,0,0,0,F,arrest case no charge,6,0
Male,27,25 - 45,Caucasian,0,0,0,F,arrest case no charge,8,0
Male,24,Less than 25,African-American,0,1,0,F,Burglary Structure Unoccup,2,1
Male,53,Greater than 45,Caucasian,0,0,0,F,Corrupt Public Servant,36,1
Male,28,25 - 45,Caucasian,0,0,0,M,Battery,2,1
Male,45,Greater than 45,African-American,0,0,0,F,Crim Use of Personal ID Info,1,0
Male,21,Less than 25,Hispanic,0,1,0,F,Grand Theft in the 3rd Degree,3,0
Female,36,25 - 45,African-American,0,0,0,F,Aggrav Battery w/Deadly Weapon,0,0
Female,25,25 - 45,Caucasian,0,0,0,M,Petit Theft,2,1
Female,23,Less than 25,Hispanic,0,0,0,M,Operating W/O Valid License,1,0
Male,28,25 - 45,Caucasian,0,0,0,F,Pos Cannabis W/Intent Sel/Del,1,0
Female,21,Less than 25,African-American,0,0,0,F,Robbery Sudd Snatch No Weapon,0,1
Male,36,25 - 45,Caucasian,0,0,0,M,Viol Injunct Domestic Violence,0,0
Male,24,Less than 25,African-American,0,0,0,F,Grand Theft in the 3rd Degree,0,0
Male,28,25 - 45,African-American,0,0,0,F,arrest case no charge,3,1
Male,30,25 - 45,Other,0,0,0,F,arrest case no charge,1,1
Male,29,25 - 45,African-American,0,0,0,F,Aggravated Assault W/Dead Weap,0,0
Female,30,25 - 45,Caucasian,0,0,0,M,Battery,0,0
Male,51,Greater than 45,Hispanic,0,0,0,M,Assault,1,0
Male,33,25 - 45,Other,0,0,0,F,Felony Battery (Dom Strang),3,0
Female,25,25 - 45,African-American,0,0,0,F,arrest case no charge,2,0
Male,32,25 - 45,African-American,0,1,0,F,arrest case no charge,12,1
Male,23,Less than 25,African-American,0,0,1,F,Grand Theft in the 3rd Degree,1,0
Male,47,Greater than 45,African-American,0,0,0,F,Possession Burglary Tools,3,0
Female,32,25 - 45,Hispanic,0,0,0,F,Possession of Cocaine,1,1
